"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
68, 2.061073929000000e-01, -4.045085012000000e-01, 2.094284658342478e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.337676282967156e+00
69, 1.935465038000000e-01, -3.950774967000000e-01, 2.095184101812051e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.339654240563599e+00
70, 1.812880039000000e-01, -3.852565884000000e-01, 2.096112668065104e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.341696518692997e+00
71, 1.693440974000000e-01, -3.750554918000000e-01, 2.097066326062498e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.343794208176068e+00
72, 1.577264965000000e-01, -3.644843100000000e-01, 2.098041061977253e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.345938425133307e+00
73, 1.464466006000000e-01, -3.535534142000000e-01, 2.099032190209727e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.348118898149080e+00
74, 1.355157048000000e-01, -3.422735928000000e-01, 2.100035632366065e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.350326603548872e+00
75, 1.249445006000000e-01, -3.306559025000000e-01, 2.101046707142720e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.352551244738172e+00
76, 1.147433966000000e-01, -3.187119960000000e-01, 2.102060724146147e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.354782481680882e+00
77, 1.049225032000000e-01, -3.064534961000000e-01, 2.103072962645486e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.357009897243506e+00
78, 9.549151359999999e-02, -2.938925921000000e-01, 2.104078170763477e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.359221971098538e+00
79, 8.645971120000000e-02, -2.810417115000000e-01, 2.105071973365121e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.361409005884489e+00
80, 7.783603670000000e-02, -2.679134010000000e-01, 2.106049482229450e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.363560243439798e+00
81, 6.962897630000001e-02, -2.545207142000000e-01, 2.107005946507631e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.365665211211589e+00
82, 6.184665860000000e-02, -2.408767938000000e-01, 2.107936663249392e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.367713541634878e+00
83, 5.449673910000000e-02, -2.269951998000000e-01, 2.108836652208255e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.369694308680509e+00
84, 4.758647080000000e-02, -2.128895967000000e-01, 2.109701823746531e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.371598457507633e+00
85, 4.112268980000000e-02, -1.985739021000000e-01, 2.110527726990496e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.373416208244560e+00
86, 3.511175890000000e-02, -1.840623020000000e-01, 2.111310213569512e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.375138432458854e+00
87, 2.955961970000000e-02, -1.693689971000000e-01, 2.112045250841742e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.376756267526275e+00
88, 2.447173930000000e-02, -1.545085012000000e-01, 2.112729287949323e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.378261876020931e+00
89, 1.985315980000000e-02, -1.394955962000000e-01, 2.113358940866752e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.379647796999334e+00
90, 1.570842040000000e-02, -1.243449001000000e-01, 2.113931101502788e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.380907180637555e+00
91, 1.204162000000000e-02, -1.090715974000000e-01, 2.114442859100718e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.382033620412284e+00
92, 8.856374800000000e-03, -9.369066349999999e-02, 2.114891545706947e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.383021252963352e+00
93, 6.155829900000000e-03, -7.821723060000001e-02, 2.115274992810245e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.383865293679305e+00
94, 3.942648900000000e-03, -6.266661720000000e-02, 2.115591277078354e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.384561509004688e+00
95, 2.219018100000000e-03, -4.705416030000000e-02, 2.115838880297917e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.385106548176721e+00
96, 9.866359999999999e-04, -3.139526010000000e-02, 2.116016594187858e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.385497746383322e+00
97, 2.467200000000000e-04, -1.570538050000000e-02, 2.116123611797631e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.385733321726107e+00
98, 0.000000000000000e+00, 1.000000000000000e-10, 2.116159530162398e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.385812373731808e+00
99, 2.467200000000000e-04, 1.570538070000000e-02, 2.116124087800884e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.385734336257167e+00
